網頁版,星期,時間,地點,主要行程,交通/票券,住宿,訂房號碼
9/19,六,,巴黎走走休息,,,B&B HOTEL Paris Italie Porte de Choisy 3 étoiles,
9/20,日,,羅丹＋傷兵院＋凱旋門,,,B&B HOTEL Paris Italie Porte de Choisy 3 étoiles,
9/21,一,,橘園＋海軍府＋聖禮拜堂＋古監獄＋書店,Chez janou 餐廳 16:00已訂位,,B&B HOTEL Paris Italie Porte de Choisy 3 étoiles,
9/22,二,,奧塞＋聖母院＋先賢祠,,,B&B HOTEL Paris Italie Porte de Choisy 3 étoiles,
9/23,三,,羅浮宮＋杜樂麗,,,B&B HOTEL Paris Italie Porte de Choisy 3 étoiles,
9/24,四,,巴黎（楓丹白露）,,,B&B HOTEL Paris Italie Porte de Choisy 3 étoiles,
9/25,五,6:48,巴黎 雷恩 聖馬洛 入住聖馬洛飯店 午餐 甜點 觀光 ,,TGV: 06:48-08:15 (4WCP2R),聖馬洛,
9/26,六,,早餐 觀光 租車 開到聖米山 入住聖米山飯店 吃飯 飯店周圍觀光 ,,聖馬洛租車出發聖米山,聖米山 ,
9/27,日,,聖米山觀光 飯店周圍觀光  續住聖米山飯店,,半天,聖米山 ,
9/28,一,,聖米山退房 開車到翁夫勒 聖凱瑟琳教堂 吃海鮮 入住翁夫勒飯店,,,翁夫勒飯店,
9/29,二,,翁夫勒退房 開車到 象鼻海岸 觀光 開車到廬昂  入住廬昂飯店,,,廬昂飯店,
9/30,三,,廬昂 La Couronne  盧昂大教堂、大時鐘和聖女貞德教堂  市區觀光 續住廬昂飯店,,,廬昂飯店,
10/1,四,,廬昂退房 開車到莫內之家 第一批入場 開車回巴黎 入住巴黎飯店,,,Zenitude Hôtel-Résidences Chessy,
10/2,五,,迪士尼 Parc Disneyland,,,Zenitude Hôtel-Résidences Chessy,
10/3,六,,迪士尼 Disney Studios,,,Zenitude Hôtel-Résidences Chessy,
10/4,日,,巴黎鐵塔,,,巴黎飯店,
10/5,一,,凡爾賽,,,巴黎飯店,
10/6,二,11:20,戴樂高,,,,
10/7,三,6:40,桃園,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,https://www.iamlindsaywang.com/2016/10/Paris-city-walk-tour1.html,
